Indicator,Disaggregations,Number of disaggregations
#10-2-1,"University_members, Sex",2
#10-2-2,"Sex, Study_level",2
#10-2-4,Sex,1
#10-2-6,Sex,1
#11-3-2,Sex,1
#12-7-1,Ethical_clauses,1
#13-3-1,Sex,1
#13-3-3,Study_level,1
#14-2-2,Study_level,1
#15-5-3,Study_level,1
#3-4-2,Area,1
#3-4-3,Sex,1
#4-3-1,Sex,1
#4-3-2,"Sex, Study_level",2
#4-3-3,"Sex, Study_level",2
#4-3-4,Student Type,1
#4-3-7,"Sex, Study_level",2
#4-5-1,Sex,1
#4-5-2,Sex,1
#4-5-3,"University_members, Sex",2
#4-7-2,Sex,1
#5-1-7,Sex,1
#5-4-1,"University_members, Sex",2
#8-5-1,Sex,1
#8-5-2,Sex,1
#8-5-3,Study_level,1
#8-5-4,"University_members, Sex",2
