Year,University members,Sex,Value
2021-2022,Administrative and service personnel,,14
2021-2022,Administrative and service personnel,Men,2
2021-2022,Administrative and service personnel,Women,12
2021-2022,Teaching and research personnel,,127
2021-2022,Teaching and research personnel,Men,34
2021-2022,Teaching and research personnel,Women,93
2022-2023,Administrative and service personnel,,10
2022-2023,Administrative and service personnel,Men,2
2022-2023,Administrative and service personnel,Women,8
2022-2023,Teaching and research personnel,,51
2022-2023,Teaching and research personnel,Men,21
2022-2023,Teaching and research personnel,Women,30
