Year,Study level,Sex,Value
2021-2022,Degree and Double Degree,,1472
2021-2022,Master,,1095
2021-2022,Degree and Double Degree,Men,560
2021-2022,Degree and Double Degree,Women,912
2021-2022,Master,Men,417
2021-2022,Master,Women,678
2022-2023,Degree and Double Degree,,1340
2022-2023,Master,,1002
2022-2023,Doctorate,,94
2022-2023,Degree and Double Degree,Men,518
2022-2023,Degree and Double Degree,Women,822
2022-2023,Master,Men,420
2022-2023,Master,Women,582
2022-2023,Doctorate,Men,58
2022-2023,Doctorate,woman,36
