Year,Nivel de estudios,Sexo,Value
2021-2022,Grado y Doble Grado,,1472
2021-2022,Master,,1095
2021-2022,Grado y Doble Grado,Hombres,560
2021-2022,Grado y Doble Grado,Mujeres,912
2021-2022,Master,Hombres,417
2021-2022,Master,Mujeres,678
2022-2023,Grado y Doble Grado,,1340
2022-2023,Master,,1002
2022-2023,Doctorado,,94
2022-2023,Grado y Doble Grado,Hombres,518
2022-2023,Grado y Doble Grado,Mujeres,822
2022-2023,Master,Hombres,420
2022-2023,Master,Mujeres,582
2022-2023,Doctorado,Hombres,58
2022-2023,Doctorado,woman,36
