Year,Miembros de la universidad,Sexo,Value
2021-2022,Personal de administración y servicios,,14
2021-2022,Personal de administración y servicios,Hombres,2
2021-2022,Personal de administración y servicios,Mujeres,12
2021-2022,Personal docente e investigador,,127
2021-2022,Personal docente e investigador,Hombres,34
2021-2022,Personal docente e investigador,Mujeres,93
2022-2023,Personal de administración y servicios,,10
2022-2023,Personal de administración y servicios,Hombres,2
2022-2023,Personal de administración y servicios,Mujeres,8
2022-2023,Personal docente e investigador,,51
2022-2023,Personal docente e investigador,Hombres,21
2022-2023,Personal docente e investigador,Mujeres,30
