Year,Nivel de estudios,Sexo,Series,Value
2021-2022,Grado,,Total,2133
2021-2022,Grado,Hombres,Desagregado,851
2021-2022,Grado,Mujeres,Desagregado,1282
2021-2022,Master,,Total,1184
2021-2022,Master,Hombres,Desagregado,516
2021-2022,Master,Mujeres,Desagregado,668
2021-2022,Doctorado,,Total,207
2021-2022,Doctorado,Hombres,Desagregado,119
2021-2022,Doctorado,Mujeres,Desagregado,88
2022-2023,Grado,,Total,2065
2022-2023,Grado,Hombres,Desagregado,779
2022-2023,Grado,Mujeres,Desagregado,1286
2022-2023,Master,,Total,1103
2022-2023,Master,Hombres,Desagregado,420
2022-2023,Master,Mujeres,Desagregado,582
2022-2023,Doctorado,,Total,185
2022-2023,Doctorado,Hombres,Desagregado,58
2022-2023,Doctorado,Mujeres,Desagregado,36
