Indicator,Reporting status,UN custodian agency,Non-statistical,Show map,Geographical coverage,Units,Graph type
#1-4-1,complete,,,,,units.percentage,bar
#1-4-2,complete,,,,,units.percentage,bar
#10-2-1,complete,,,,,units.percentage,bar
#10-2-2,complete,,,,,units.percentage,bar
#10-2-3,notstarted,,,,,units.percentage,bar
#10-2-4,complete,,,,,units.total_number,bar
#10-2-5,complete,,,,,units.total_number,bar
#10-2-6,complete,,,,,units.total_number,bar
#11-2-1,complete,,,,,units.percentage,bar
#11-2-2,complete,,,,,units.percentage,bar
#11-3-1,complete,,,,,units.percentage,bar
#11-3-2,notstarted,,,,,units.percentage,bar
#11-7-1,complete,,,,,units.percentage,bar
#12-3-1,notstarted,,,,,units.kg_food_waste,bar
#12-4-1,complete,,,,,units.kg_hazardous_waste,bar
#12-4-2,notstarted,,,,,units.kg_electronic_waste,bar
#12-4-3,notstarted,,,,,units.kg_plastic_waste,bar
#12-4-4,complete,,,,,units.kg_paper_recovered,bar
#12-4-5,notstarted,,,,,units.kg_glass_recovered,bar
#12-7-1,notstarted,,,,,units.percentage,bar
#13-2-1,complete,,,,,units.tons_co2_person,bar
#13-3-1,complete,,,,,units.total_number,bar
#13-3-2,complete,,,,,units.total_number,bar
#13-3-3,complete,,,,,units.total_number,bar
#14-2-1,complete,,,,,units.total_number,bar
#14-2-2,complete,,,,,units.total_number,bar
#15-5-1,complete,,,,,units.biodiversity_index,bar
#15-5-2,complete,,,,,units.total_number,bar
#15-5-3,complete,,,,,units.total_number,bar
#16-10-1,complete,,,,,units.percentage,bar
#16-6-1,complete,,,,,units.percentage,bar
#16-7-1,complete,,,,,units.percentage,bar
#17-16-1,complete,,,,,units.percentage,bar
#17-2-1,complete,,,,,units.percentage,bar
#17-6-1,notstarted,,,,,units.percentage,bar
#2-1-1,complete,,,,,units.percentage,bar
#2-1-2,notstarted,,,,,units.percentage,bar
#3-4-1,complete,,,,,units.percentage,bar
#3-4-2,complete,,,,,units.percentage,bar
#3-4-3,complete,,,,,units.total_number,bar
#4-3-1,complete,,,,,units.total_number,bar
#4-3-2,complete,,,,,units.total_number,bar
#4-3-3,complete,,,,,units.teacher_saturation_index,bar
#4-3-4,complete,,,,,units.degree_satisfaction,bar
#4-3-5,complete,,,,,units.stundents_per_teacher,bar
#4-3-6,notstarted,,,,,units.percentage,bar
#4-3-7,notstarted,,,,,units.percentage,bar
#4-4-1,complete,,,,,units.percentage,bar
#4-4-2,complete,,,,,units.percentage,bar
#4-4-3,complete,,,,,units.percentage,bar
#4-5-1,complete,,,,,units.total_number,bar
#4-5-2,complete,,,,,units.total_number,bar
#4-5-3,complete,,,,,units.percentage,bar
#4-7-1,complete,,,,,units.percentage,bar
#4-7-2,complete,,,,,units.total_number,bar
#5-1-1,complete,,,,,units.percentage,bar
#5-1-2,complete,,,,,units.percentage,bar
#5-1-3,complete,,,,,units.percentage,bar
#5-1-4,complete,,,,,units.percentage,bar
#5-1-5,complete,,,,,units.percentage,bar
#5-1-6,complete,,,,,units.percentage,bar
#5-1-7,complete,,,,,units.total_number,bar
#5-2-1,complete,,,,,units.total_number,bar
#5-4-1,complete,,,,,units.total_number,bar
#5-5-1,notstarted,,,,,units.percentage,bar
#5-5-2,complete,,,,,units.percentage,bar
#5-5-3,complete,,,,,units.percentage,bar
#6-4-1,complete,,,,,units.m3_per_person,bar
#6-4-2,notstarted,,,,,units.percentage,bar
#6-6-1,notstarted,,,,,units.percentage,bar
#7-2-1,complete,,,,,units.percentage,bar
#7-3-1,complete,,,,,units.percentage,bar
#7-3-2,complete,,,,,units.kWh_per_person,bar
#8-5-1,complete,,,,,units.total_number,bar
#8-5-2,complete,,,,,units.total_number,bar
#8-5-3,complete,,,,,units.percentage,bar
#8-5-4,complete,,,,,units.percentage,bar
#8-8-1,complete,,,,,units.accidents_sick_leave,bar
#8-8-2,complete,,,,,units.total_number,bar
#9-5-1,complete,,,,,units.total_number,bar
#9-5-2,complete,,,,,units.percentage,bar
#9-5-3,complete,,,,,units.percentage,bar
#9-5-4,complete,,,,,units.percentage,bar
#9-5-5,complete,,,,,units.percentage,bar
#9-5-6,complete,,,,,units.total_number,bar
